xsampa,ipa,arpabet
a,a,NA
b,b,B
b_<,\u0253,NA
c,c,NA
d,d,D
d`,\u0256,NA
d_<,\u0257,NA
e,e,NA
f,f,F
g,\u0261,G
g_<,\u0260,NA
h,h,HH
h,h,H
h\,\u0266,HV
i,i,IY
j,j,Y
j\,\u029d,NA
k,k,K
l,l,L
l`,\u026d,NA
l\,\u027a,NA
m,m,M
n,n,N
n`,\u0273,NA
o,o,NA
p,p,P
p\,\u0278,NA
q,q,NA
r,r,NA
r`,\u027d,NA
r\,\u0279,R
r\`,\u027b,NA
s,s,S
s`,\u0282,NA
s\,\u0255,NA
t,t,T
t`,\u0288,NA
u,u,UW
v,v,V
v\,\u028b,NA
w,w,W
x,x,NA
x\,\u0267,NA
y,y,NA
z,z,Z
z`,\u0290,NA
z\,\u0291,NA
A,\u0251,AA
B,\u03b2,NA
B\,\u0299,NA
C,\u00e7,NA
D,\u00f0,DH
E,\u025b,EH
F,\u0271,NA
G,\u0263,NA
G\,\u0262,NA
G\_<,\u029b,NA
H,\u0265,NA
H\,\u029c,NA
I,\u026a,IH
I\,\u1d7b,NA
J,\u0272,NA
J\,\u025f,NA
J\_<,\u0284,NA
K,\u026c,NA
K\,\u026e,NA
L,\u028e,NA
L\,\u029f,NA
M,\u026f,NA
M\,\u0270,NA
N,\u014b,NG
N\,\u0274,NA
O,\u0254,AO
O\,\u0298,NA
P,\u028b,NA
Q,\u0252,NA
R,\u0281,NA
R\,\u0280,NA
S,\u0283,NA
T,\u03b8,TH
U,\u028a,UH
U\,\u1d7f,NA
V,\u028c,AH
W,\u028d,WH
X,\u03c7,NA
X\,\u0127,NA
Y,\u028f,NA
Z,\u0292,ZH
.,.,NA
"""",\u02c8,NA
%,\u02cc,NA
',\u02b2,NA
:,\u02d0,NA
:\,\u02d1,NA
-,NA,NA
@,\u0259,NA
@\,\u0258,NA
@`,\u025a,NA
{,\u00e6,AE
},\u0289,UX
1,\u0268,IX
2,\u00f8,NA
3,\u025c,NA
3\,\u025e,NA
4,\u027e,DX
5,\u026b,NA
6,\u0250,NA
7,\u0264,NA
8,\u0275,NA
9,\u0153,NA
&,\u0276,NA
?,\u0294,NA
?\,\u0295,NA
*,NA,NA
/,NA,NA
<,NA,NA
<\,\u02a2,NA
>,NA,NA
>\,\u02a1,NA
^,\ua71b,NA
!,\ua71c,NA
!\,\u01c3,NA
|,|,NA
|\,\u01c0,NA
||,\u2016,NA
|\|\,\u01c1,NA
=\,\u01c2,NA
-\,\u203f,NA
"_""",\u0308,NA
_+,\u031f,NA
_-,\u0320,NA
_/,\u030c,NA
_0,\u0325,NA
_<,NA,NA
=,\u0329,NA
_>,\u02bc,NA
_?\,\u02e4,NA
_\,\u0302,NA
_^,\u032f,NA
_},\u031a,NA
`,\u02de,NA
~,\u0303,NA
_A,\u0318,NA
_a,\u033a,NA
_B,\u030f,NA
_B_L,\u1dc5,NA
_c,\u031c,NA
_d,\u032a,NA
_e,\u0334,NA
<F>,\u2198,NA
_F,\u0302,NA
_G,\u02e0,NA
_H,\u0301,NA
_H_T,\u1dc4,NA
_h,\u02b0,NA
_j,\u02b2,NA
_k,\u0330,NA
_L,\u0300,NA
_l,\u02e1,NA
_M,\u0304,NA
_m,\u033b,NA
_N,\u033c,NA
_n,\u207f,NA
_O,\u0339,NA
_o,\u031e,NA
_q,\u0319,NA
<R>,\u2197,NA
_R,\u030c,NA
_R_F,\u1dc8,NA
_r,\u031d,NA
_T,\u030b,NA
_t,\u0324,NA
_v,\u032c,NA
_w,\u02b7,NA
_X,\u0306,NA
_x,\u033d,NA
aU,a\u028a,AW
aI,a\u026a,AY
3`,\u025d,ER
eI,e\u026a,EY
oU,o\u028a,OW
OI,\u0254\u026a,OY
tS,t\u0283,CH
l=,l\u0329,EL
m=,m\u0329,EM
n=,n\u0329,EN
dZ,d\u0292,JH
4~,\u027e\u0303,NX
N=,\u014b\u030d,ENG
@_0,\u0259\u0325,AX-H
b_},b\u031a,BCL
d_},d\u031a,DCL
g_},\u0261\u031a,GCL
k_},k\u031a,KCL
p_},p\u031a,PCL
t_},t\u031a,TCL
