xsampa,ipa,
a,a,
b,b,B
b_<,\u0253,
c,c,
d,d,D
d`,\u0256,
d_<,\u0257,
e,e,
f,f,F
g,\u0261,G
g_<,\u0260,
h,h,HH
h,h,H
h\,\u0266,HV
i,i,IY
j,j,Y
j\,\u029d,
k,k,K
l,l,L
l`,\u026d,
l\,\u027a,
m,m,M
n,n,N
n`,\u0273,
o,o,
p,p,P
p\,\u0278,
q,q,
r,r,
r`,\u027d,
r\,\u0279,R
r\`,\u027b,
s,s,S
s`,\u0282,
s\,\u0255,
t,t,T
t`,\u0288,
u,u,UW
v,v,V
v\,\u028b,
w,w,W
x,x,
x\,\u0267,
y,y,
z,z,Z
z`,\u0290,
z\,\u0291,
A,\u0251,AA
B,\u03b2,
B\,\u0299,
C,\u00e7,
D,\u00f0,DH
E,\u025b,EH
F,\u0271,
G,\u0263,
G\,\u0262,
G\_<,\u029b,
H,\u0265,
H\,\u029c,
I,\u026a,IH
I\,\u1d7b,
J,\u0272,
J\,\u025f,
J\_<,\u0284,
K,\u026c,
K\,\u026e,
L,\u028e,
L\,\u029f,
M,\u026f,
M\,\u0270,
N,\u014b,NG
N\,\u0274,
O,\u0254,AO
O\,\u0298,
P,\u028b,
Q,\u0252,
R,\u0281,
R\,\u0280,
S,\u0283,
T,\u03b8,TH
U,\u028a,UH
U\,\u1d7f,
V,\u028c,AH
W,\u028d,WH
X,\u03c7,
X\,\u0127,
Y,\u028f,
Z,\u0292,ZH
.,.,
"""",\u02c8,
%,\u02cc,
',\u02b2,
:,\u02d0,
:\,\u02d1,
-,,
@,\u0259,
@\,\u0258,
@`,\u025a,
{,\u00e6,AE
},\u0289,UX
1,\u0268,IX
2,\u00f8,
3,\u025c,
3\,\u025e,
4,\u027e,DX
5,\u026b,
6,\u0250,
7,\u0264,
8,\u0275,
9,\u0153,
&,\u0276,
?,\u0294,
?\,\u0295,
*,,
/,,
<,,
<\,\u02a2,
>,,
>\,\u02a1,
^,\ua71b,
!,\ua71c,
!\,\u01c3,
|,|,
|\,\u01c0,
||,\u2016,
|\|\,\u01c1,
=\,\u01c2,
-\,\u203f,
"_""",\u0308,
_+,\u031f,
_-,\u0320,
_/,\u030c,
_0,\u0325,
_<,,
=,\u0329,
_>,\u02bc,
_?\,\u02e4,
_\,\u0302,
_^,\u032f,
_},\u031a,
`,\u02de,
~,\u0303,
_A,\u0318,
_a,\u033a,
_B,\u030f,
_B_L,\u1dc5,
_c,\u031c,
_d,\u032a,
_e,\u0334,
<F>,\u2198,
_F,\u0302,
_G,\u02e0,
_H,\u0301,
_H_T,\u1dc4,
_h,\u02b0,
_j,\u02b2,
_k,\u0330,
_L,\u0300,
_l,\u02e1,
_M,\u0304,
_m,\u033b,
_N,\u033c,
_n,\u207f,
_O,\u0339,
_o,\u031e,
_q,\u0319,
<R>,\u2197,
_R,\u030c,
_R_F,\u1dc8,
_r,\u031d,
_T,\u030b,
_t,\u0324,
_v,\u032c,
_w,\u02b7,
_X,\u0306,
_x,\u033d,
aU,,AW
aI,,AY
3`,,ER
eI,,EY
oU,,OW
OI,,OY
tS,,CH
l=,,EL
m=,,EM
n=,,EN
dZ,,JH
4~,,NX
N=,,ENG
@_0,,AX-H
